1900	0.180075525307  -0.453362188276  0.103799243939  -0.604834171819  0.0634082708109  -0.617589073881
3800	0.181738543153  -0.454859535331  0.104132664227  -0.604137924871  0.0650392344761  -0.616455642364
5700	0.18174296064  -0.456153253854  0.104704545255  -0.603774561148  0.0648967339846  -0.615772162969
7600	0.182960573733  -0.458814164621  0.105338393197  -0.602591829778  0.0661078576662  -0.614354662684
9500	0.182906648178  -0.459172866803  0.105799652738  -0.601485799548  0.066377148537  -0.615077862566
11400	0.182481448115  -0.45833045286  0.10576278961  -0.601916423634  0.0658850915845  -0.615470326722
13300	0.182341093573  -0.458203792296  0.105922419365  -0.601353261052  0.0658421902794  -0.616133518645
15200	0.182314216705  -0.457500277563  0.106355601889  -0.601917691437  0.0655236069841  -0.616072445436
17100	0.182132788913  -0.4564747156  0.106519328668  -0.602137193839  0.0652295023487  -0.616674975705
19000	0.182062818532  -0.45574236194  0.106442998895  -0.60225697307  0.0651258196297  -0.617144297255
